"ID"	"All SNP p<5e-3"	"LD Clump p<5e-3"	"LD Clump p<1e-3"	"LD Clump p<5e-4"	"LD Clump p<1e-4"	"LD Clump p<5e-5"	"LD Clump p<1e-5"	"LD Clump p<5e-6"	"LD Clump p<1e-6"	"LD Clump p<5e-7"	"LD Clump p<1e-7"
"HG01879"	0.000826070633153038	0.00160979882459313	0.00374393666786614	0.00337415605976757	0.00332831105710814	0.00224276094276094	-0.00345253333333333	0.000725838926174497	-0.00130862944162437	-0.00160823529411765	0.000298373983739837
"NA19625"	0.000146868834722841	0.00140725587703436	0.0030991363799928	0.00180691754288877	0.00268408262454435	0.00121902356902357	-0.00404373333333333	-0.000509395973154362	-0.00169593908629442	-0.00144	-0.00028130081300813
"HG03006"	4.5478841870824e-05	0.00132387249915225	0.00366372795969773	0.00210586607636967	0.0021318347509113	0.000828787878787879	-0.00393146666666667	0.000240268456375839	-0.00153857868020305	-0.00116411764705882	-0.000711382113821138
"HG00867"	-0.000558771874005727	0.0011421516555543	0.0029375314861461	0.00174836745987825	0.00212794653705954	0.000430639730639731	-0.00480373333333333	-0.000160738255033557	-0.00280406091370558	-0.00254058823529412	-3.41463414634146e-05
"NA06984"	-0.000556861060736216	0.00107464963833635	0.00325264483627204	0.0017568345323741	0.00197168894289186	0.00112962962962963	-0.00372213333333333	0.00108322147651007	-0.000546192893401015	-7.64705882352941e-05	0.000795121951219512
"NA18525"	-0.000687916388279087	0.00102741862567812	0.0030815041381792	0.00159457664637521	0.00110838396111786	-0.000174074074074074	-0.0054888	-0.000867785234899329	-0.0028243654822335	-0.00303411764705882	-0.0015349593495935
"HG00403"	-0.000449467086634215	0.00100277966101695	0.00268913278157611	0.00155340343110127	0.00159307411907655	0.000474579124579125	-0.00464586666666667	-0.000744630872483221	-0.0035751269035533	-0.00348823529411765	-0.0027390243902439
"HG01119"	-0.000163552769734958	0.00151617314647378	0.00364287257019438	0.00270957918050941	0.00349015795868773	0.00241969696969697	-0.00272026666666667	0.00137013422818792	0.0011497461928934	0.00152117647058824	0.00432764227642276
"HG02922"	0.000298409061982945	0.000867325949367088	0.00365962576466355	0.00279861649142225	0.00338529769137303	0.00179343434343434	-0.00254826666666667	0.000197986577181208	-0.00286802030456853	-0.00265882352941176	-0.000729268292682927
"HG00171"	0.000671574023990582	0.00170099468746468	0.00410748740100792	0.00340603543743079	0.00554580801944107	0.00526969696969697	0.000980266666666667	0.00690704697986577	0.00792639593908629	0.00946352941176471	0.0126845528455285
